source_dataset,n_08b,json_validity_rate_08b,resource_type_match_rate_08b,exact_string_match_rate_08b,observation_value_exact_match_rate_08b,observation_unit_exact_match_rate_08b,n_2b,json_validity_rate_2b,resource_type_match_rate_2b,exact_string_match_rate_2b,observation_value_exact_match_rate_2b,observation_unit_exact_match_rate_2b
gpt_expanded,39,0.8461538461538461,0.8461538461538461,0.8461538461538461,1.0,1.0,39,0.8461538461538461,0.8461538461538461,0.3846153846153846,1.0,1.0
mimic_eicu,3,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,3,1.0,1.0,1.0,1.0,1.0
nhanes,86,1.0,1.0,0.9418604651162792,1.0,1.0,86,1.0,1.0,0.9186046511627908,1.0,0.9830508474576272
official,24,1.0,1.0,0.875,1.0,0.9444444444444444,24,1.0,1.0,0.75,1.0,0.8888888888888888
synthea,248,0.7217741935483871,0.7217741935483871,0.189516129032258,1.0,1.0,248,0.7217741935483871,0.7217741935483871,0.0,1.0,1.0
