step,train_loss,train_token_accuracy
5,1.047315502166748,0.7582222446799278
10,0.9102345466613769,0.7852468609809875
15,0.7031772136688232,0.8234572142362595
20,0.5957424640655518,0.8511953428387642
25,0.5341757774353028,0.8572607532143592
30,0.5245912075042725,0.856914059817791
35,0.4819340705871582,0.8644255638122559
40,0.4302511215209961,0.879996894299984
45,0.4086620807647705,0.8817968606948853
50,0.4091691017150879,0.8887131467461586
55,0.3744394302368164,0.8982805550098419
60,0.4032285213470459,0.8864377617835999
65,0.37158362865447997,0.8950399607419968
70,0.3455819845199585,0.8979239627718926
75,0.3711749792098999,0.892553822696209
80,0.3377326726913452,0.904094685614109
85,0.36791751384735105,0.8948349729180336
90,0.3288820028305054,0.9033112332224846
95,0.3202500820159912,0.912620909512043
100,0.2866053104400635,0.9154196873307228
105,0.3287084102630615,0.9058176711201668
110,0.3233302116394043,0.9048888683319092
115,0.3094725847244263,0.9062441155314446
120,0.308184289932251,0.913416537642479
125,0.31809358596801757,0.9078387036919594
130,0.32944862842559813,0.9048898071050644
135,0.30674455165863035,0.9165329679846763
140,0.27735366821289065,0.9212279662489891
145,0.3263346433639526,0.9045680522918701
150,0.3037519931793213,0.9079698368906974
155,0.28427677154541015,0.9136384516954422
160,0.3181274890899658,0.9064498081803322
165,0.29181742668151855,0.9123464837670326
170,0.2765602350234985,0.9152229070663452
175,0.24338889122009277,0.9319622412323951
180,0.26820573806762693,0.9238867372274399
185,0.2682521343231201,0.9257671132683754
190,0.24142308235168458,0.9311137661337853
195,0.23000996112823485,0.9333063423633575
200,0.2280289888381958,0.9366374686360359
205,0.24823400974273682,0.9252135008573532
210,0.2617433309555054,0.9221260979771614
215,0.24087176322937012,0.9257872998714447
220,0.24962320327758789,0.9267524644732476
225,0.20631625652313232,0.9376953125
230,0.20372607707977294,0.9381817206740379
235,0.22926735877990723,0.9304993882775306
240,0.20857813358306884,0.9412868484854698
245,0.20318953990936278,0.9429268091917038
250,0.19330910444259644,0.9444387301802635
255,0.16379361152648925,0.9527668789029121
260,0.137459659576416,0.9598866865038872
265,0.1637917637825012,0.9521776080131531
270,0.15197951793670655,0.9537280306220055
275,0.1374355673789978,0.957660573720932
280,0.15577988624572753,0.9533905044198037
285,0.1521275520324707,0.9568128332495689
290,0.15016323328018188,0.9558887094259262
295,0.13011270761489868,0.9608870774507523
300,0.12536044120788575,0.9616389989852905
305,0.12117561101913452,0.9634389117360115
310,0.11235977411270141,0.965302973985672
315,0.13665634393692017,0.9591486901044846
320,0.11357349157333374,0.967154560983181
325,0.1101381540298462,0.9668890565633774
330,0.0967415452003479,0.9707260593771935
335,0.09063833951950073,0.9740920707583427
340,0.0753109633922577,0.9763049766421318
345,0.08647833466529846,0.9742474913597107
350,0.09245235323905945,0.973449258506298
355,0.07032363414764405,0.9787793040275574
360,0.07391567826271057,0.9769217059016228
365,0.06757905483245849,0.9786222532391549
370,0.07100588083267212,0.9796551629900933
375,0.06856133341789246,0.979590417444706
380,0.0651690661907196,0.9811099290847778
385,0.07609598636627198,0.9780057042837143
390,0.06995540261268615,0.9781601265072822
395,0.07010545134544373,0.9768067091703415
400,0.06591051816940308,0.9808306023478508
405,0.05983240008354187,0.9833160459995269
410,0.0668127715587616,0.9790362164378166
415,0.05751739144325256,0.9818064883351326
420,0.058636778593063356,0.9822925657033921
425,0.05705060362815857,0.9831939950585366
430,0.05778457522392273,0.9809841021895409
435,0.04648721516132355,0.9854814544320106
440,0.06224444508552551,0.98178321570158
445,0.0514998733997345,0.9825960516929626
450,0.04592004120349884,0.9849051743745804
455,0.054072076082229616,0.9830431401729584
460,0.05078566074371338,0.9831072375178337
465,0.04727807343006134,0.9844674721360207
470,0.05001429915428161,0.985092593729496
475,0.04786798059940338,0.9845659703016281
480,0.05070709586143494,0.9845932185649872
485,0.046062296628952025,0.9853526964783669
490,0.06008991003036499,0.9835471898317337
495,0.060794252157211306,0.9815704241394997
500,0.05125265717506409,0.9841948330402375
505,0.044198769330978396,0.9846617802977562
510,0.04806287288665771,0.9851780116558075
515,0.054673540592193606,0.9840268418192863
520,0.04298715889453888,0.9866555228829383
525,0.050467807054519656,0.9838976487517357
