split,n,json_validity_rate,resource_type_match_rate,exact_string_match_rate,observation_value_exact_match_rate,observation_unit_exact_match_rate,model
final_val,200,0.835,0.835,0.445,1.0,0.9921875,Qwen 0.8B
test,101,0.7425742574257426,0.7425742574257426,0.4851485148514851,1.0,1.0,Qwen 0.8B
robustness,99,0.8383838383838383,0.8383838383838383,0.4646464646464646,1.0,0.9830508474576272,Qwen 0.8B
final_val,200,0.81,0.81,0.175,1.0,0.9453125,Qwen 2B
test,101,0.7227722772277227,0.7227722772277227,0.1683168316831683,1.0,0.8928571428571429,Qwen 2B
robustness,99,0.8383838383838383,0.8383838383838383,0.2323232323232323,1.0,0.9152542372881356,Qwen 2B
final_val,200,0.31,0.16,0.005,0.5,0.4347826086956521,Qwen 4B
test,101,0.3564356435643564,0.1584158415841584,0.0,0.3928571428571428,0.3571428571428571,Qwen 4B
robustness,99,0.3737373737373737,0.1616161616161616,0.0101010101010101,0.4166666666666667,0.375,Qwen 4B
